name,region
Angola,Sub-Saharan Africa
Benin,Sub-Saharan Africa
Botswana,Sub-Saharan Africa
Burkina Faso,Sub-Saharan Africa
Burundi,Sub-Saharan Africa
Cameroon,Sub-Saharan Africa
Cape Verde,Sub-Saharan Africa
Central African Rep.,Sub-Saharan Africa
Chad,Sub-Saharan Africa
Comoros,Sub-Saharan Africa
"Congo, Dem. Rep.",Sub-Saharan Africa
"Congo, Rep.",Sub-Saharan Africa
Cote d'Ivoire,Sub-Saharan Africa
Equatorial Guinea,Sub-Saharan Africa
Eritrea,Sub-Saharan Africa
Eritrea and Ethiopia,Sub-Saharan Africa
Ethiopia,Sub-Saharan Africa
Gabon,Sub-Saharan Africa
Gambia,Sub-Saharan Africa
Ghana,Sub-Saharan Africa
Guinea,Sub-Saharan Africa
Guinea-Bissau,Sub-Saharan Africa
Kenya,Sub-Saharan Africa
Lesotho,Sub-Saharan Africa
Liberia,Sub-Saharan Africa
Madagascar,Sub-Saharan Africa
Malawi,Sub-Saharan Africa
Mali,Sub-Saharan Africa
Mauritania,Sub-Saharan Africa
Mauritius,Sub-Saharan Africa
Mayotte,Sub-Saharan Africa
Mozambique,Sub-Saharan Africa
Namibia,Sub-Saharan Africa
Niger,Sub-Saharan Africa
Nigeria,Sub-Saharan Africa
Reunion,Sub-Saharan Africa
Rwanda,Sub-Saharan Africa
Saint Helena,Sub-Saharan Africa
Sao Tome and Principe,Sub-Saharan Africa
Senegal,Sub-Saharan Africa
Seychelles,Sub-Saharan Africa
Sierra Leone,Sub-Saharan Africa
Somalia,Sub-Saharan Africa
Somaliland,Sub-Saharan Africa
South Africa,Sub-Saharan Africa
South Sudan,Sub-Saharan Africa
Sudan,Sub-Saharan Africa
Swaziland,Sub-Saharan Africa
Tanzania,Sub-Saharan Africa
Togo,Sub-Saharan Africa
Uganda,Sub-Saharan Africa
Zambia,Sub-Saharan Africa
Zimbabwe,Sub-Saharan Africa
Afghanistan,South Asia
Bangladesh,South Asia
Bhutan,South Asia
India,South Asia
Maldives,South Asia
Nepal,South Asia
Pakistan,South Asia
Sri Lanka,South Asia
Algeria,Middle East & North Africa
Bahrain,Middle East & North Africa
Djibouti,Middle East & North Africa
Egypt,Middle East & North Africa
Iran,Middle East & North Africa
Iraq,Middle East & North Africa
Israel,Middle East & North Africa
Jordan,Middle East & North Africa
Kuwait,Middle East & North Africa
Lebanon,Middle East & North Africa
Libya,Middle East & North Africa
Morocco,Middle East & North Africa
Oman,Middle East & North Africa
Qatar,Middle East & North Africa
Saudi Arabia,Middle East & North Africa
Syria,Middle East & North Africa
Tunisia,Middle East & North Africa
United Arab Emirates,Middle East & North Africa
West Bank and Gaza,Middle East & North Africa
"Yemen, Rep.",Middle East & North Africa
Yemen Arab Republic (Former),Middle East & North Africa
Yemen Democratic (Former),Middle East & North Africa
Anguilla,America
Antigua and Barbuda,America
Argentina,America
Aruba,America
Bahamas,America
Barbados,America
Belize,America
Bermuda,America
Bolivia,America
Brazil,America
British Virgin Islands,America
Canada,America
Cayman Islands,America
Chile,America
Colombia,America
Costa Rica,America
Cuba,America
Dominica,America
Dominican Rep.,America
Ecuador,America
El Salvador,America
Falkland Islands (Malvinas),America
French Guiana,America
Grenada,America
Guadeloupe,America
Guatemala,America
Guyana,America
Haiti,America
Honduras,America
Jamaica,America
Martinique,America
Mexico,America
Montserrat,America
Netherlands Antilles,America
Nicaragua,America
Panama,America
Paraguay,America
Peru,America
Puerto Rico,America
Saint Barth̩lemy,America
Saint Martin,America
Saint-Pierre-et-Miquelon,America
Saint Kitts and Nevis,America
Saint Lucia,America
Saint Vincent and the Grenadines,America
Suriname,America
Trinidad and Tobago,America
Turks and Caicos Islands,America
United States,America
Uruguay,America
Abkhazia,Europe & Central Asia
Akrotiri and Dhekelia,Europe & Central Asia
Albania,Europe & Central Asia
Andorra,Europe & Central Asia
Armenia,Europe & Central Asia
Austria,Europe & Central Asia
Azerbaijan,Europe & Central Asia
Belarus,Europe & Central Asia
Belgium,Europe & Central Asia
Bosnia and Herzegovina,Europe & Central Asia
Bulgaria,Europe & Central Asia
Channel Islands,Europe & Central Asia
Croatia,Europe & Central Asia
Cyprus,Europe & Central Asia
Czech Rep.,Europe & Central Asia
Czechoslovakia,Europe & Central Asia
Denmark,Europe & Central Asia
East Germany,Europe & Central Asia
Estonia,Europe & Central Asia
Faeroe Islands,Europe & Central Asia
Finland,Europe & Central Asia
France,Europe & Central Asia
Georgia,Europe & Central Asia
Germany,Europe & Central Asia
Gibraltar,Europe & Central Asia
Greece,Europe & Central Asia
Greenland,Europe & Central Asia
Guernsey,Europe & Central Asia
Holy See,Europe & Central Asia
Hungary,Europe & Central Asia
Iceland,Europe & Central Asia
Ireland,Europe & Central Asia
Isle of Man,Europe & Central Asia
Italy,Europe & Central Asia
Jersey,Europe & Central Asia
Kazakhstan,Europe & Central Asia
Kosovo,Europe & Central Asia
Kyrgyzstan,Europe & Central Asia
Latvia,Europe & Central Asia
Liechtenstein,Europe & Central Asia
Lithuania,Europe & Central Asia
Luxembourg,Europe & Central Asia
"Macedonia, FYR",Europe & Central Asia
Malta,Europe & Central Asia
Moldova,Europe & Central Asia
Monaco,Europe & Central Asia
Montenegro,Europe & Central Asia
Netherlands,Europe & Central Asia
Ngorno-Karabakh,Europe & Central Asia
Northern Cyprus,Europe & Central Asia
Norway,Europe & Central Asia
Poland,Europe & Central Asia
Portugal,Europe & Central Asia
Romania,Europe & Central Asia
Russia,Europe & Central Asia
San Marino,Europe & Central Asia
Serbia,Europe & Central Asia
Serbia and Montenegro,Europe & Central Asia
Serbia excluding Kosovo,Europe & Central Asia
Slovak Republic,Europe & Central Asia
Slovenia,Europe & Central Asia
South Ossetia,Europe & Central Asia
Spain,Europe & Central Asia
Svalbard,Europe & Central Asia
Sweden,Europe & Central Asia
Switzerland,Europe & Central Asia
Tajikistan,Europe & Central Asia
Transnistria,Europe & Central Asia
Turkey,Europe & Central Asia
Turkmenistan,Europe & Central Asia
Ukraine,Europe & Central Asia
